mts,open,close,high,low,volume
1631887200000,47271.0,47500.0,47500.0,47251.0,66.81898193
1631888100000,47500.0,47477.38140287,47578.07127365,47465.36229373,27.40384364
1631889000000,47476.97484408,47402.0,47493.8938388,47400.0,8.77491913
1631889900000,47401.66144528,47521.0,47525.0,47361.0,34.74476033
1631890800000,47521.0,47532.90491082,47583.0,47471.0,68.95750149
1631891700000,47532.90491082,47534.0,47602.0,47503.0,27.09470603
1631892600000,47534.0,47605.0,47605.0,47480.0,21.0062665
1631893500000,47605.5282717,47521.0,47641.95495691,47494.07445242,13.63868024
1631894400000,47549.0,47517.0,47549.0,47385.77399008,15.742902430000001
1631895300000,47517.0,47640.0,47658.0,47517.0,6.76865044
1631896200000,47639.0,47661.0,47721.0,47616.66558198,21.71080619
1631897100000,47659.0,47640.0,47740.0,47624.0,23.3349608
1631898000000,47646.0,47611.0,47681.0,47611.0,10.21066111
1631898900000,47612.0,47536.71392346,47612.0,47533.0,7.85466806
1631899800000,47541.0,47549.32842483,47593.0,47541.0,15.00598438
1631900700000,47547.98467791,47278.0,47547.98467791,47235.0,47.07723024
1631901600000,47274.23252956,46915.0,47330.0,46891.0,151.24287978
1631902500000,46911.0,46958.0,47050.0,46771.0,95.16408575
1631903400000,46958.0,46970.0,47043.89531493,46912.27193238,52.51239885
1631904300000,46970.25894636,47199.0,47199.0,46970.0,38.84002579
1631905200000,47198.0,47146.0,47221.0,47107.0,9.99109159
1631906100000,47145.0,47289.0,47289.0,47118.0,7.78171615
1631907000000,47289.0,47326.76227871,47334.0,47250.0,4.56537578
1631907900000,47319.0,47506.0,47547.0,47296.0,29.6017604
1631908800000,47505.0,47371.0,47569.0,47348.6337003,52.39592857
1631909700000,47381.0,47175.0,47407.09464412,47175.0,26.26909889
1631910600000,47188.0,47205.0,47263.0,47092.78389211,21.67742933
1631911500000,47194.0,46995.0,47206.08324002,46991.0,20.39846985
1631912400000,46991.0,47089.0,47127.0,46796.0,78.27532906
1631913300000,47079.0,47053.0,47081.0,46972.0,22.88137025
1631914200000,47054.0,47131.0,47220.0,47054.0,14.14025048
1631915100000,47131.0,47284.0,47285.0,47110.0,12.07535893
1631916000000,47285.0,47387.0,47438.0,47273.0,45.47200759
1631916900000,47397.0,47321.0,47441.0,47316.0,14.63846766
1631917800000,47320.77949488,47281.0,47340.0,47264.0,20.75516065
1631918700000,47280.0,46964.0,47307.0,46950.0,45.44468973
1631919600000,46988.0,47107.0,47108.0,46931.0,17.60220271
